,回別,抽せん日,ナンバーズ3抽せん数字
428,第5429回,2020年5月7日,033
429,第5428回,2020年5月6日,348
430,第5427回,2020年5月5日,809
431,第5426回,2020年5月4日,534
432,第5425回,2020年5月1日,815
433,第5424回,2020年4月30日,054
434,第5423回,2020年4月29日,457
435,第5422回,2020年4月28日,843
436,第5421回,2020年4月27日,867
437,第5420回,2020年4月24日,654
438,第5419回,2020年4月23日,804
439,第5418回,2020年4月22日,489
440,第5417回,2020年4月21日,889
441,第5416回,2020年4月20日,950
442,第5415回,2020年4月17日,391
443,第5414回,2020年4月16日,010
444,第5413回,2020年4月15日,962
445,第5412回,2020年4月14日,909
446,第5411回,2020年4月13日,684
447,第5410回,2020年4月10日,182
448,第5409回,2020年4月9日,505
449,第5408回,2020年4月8日,925
450,第5407回,2020年4月7日,221
451,第5406回,2020年4月6日,602
452,第5405回,2020年4月3日,802
453,第5404回,2020年4月2日,010
454,第5403回,2020年4月1日,176
455,第5402回,2020年3月31日,724
456,第5401回,2020年3月30日,574
457,第5400回,2020年3月27日,938
458,第5399回,2020年3月26日,930
459,第5398回,2020年3月25日,509
460,第5397回,2020年3月24日,477
461,第5396回,2020年3月23日,063
462,第5395回,2020年3月20日,397
463,第5394回,2020年3月19日,376
464,第5393回,2020年3月18日,738
465,第5392回,2020年3月17日,679
466,第5391回,2020年3月16日,983
467,第5390回,2020年3月13日,504
468,第5389回,2020年3月12日,233
469,第5388回,2020年3月11日,168
470,第5387回,2020年3月10日,372
471,第5386回,2020年3月9日,921
472,第5385回,2020年3月6日,162
473,第5384回,2020年3月5日,073
474,第5383回,2020年3月4日,452
475,第5382回,2020年3月3日,178
476,第5381回,2020年3月2日,843
477,第5380回,2020年2月28日,780
478,第5379回,2020年2月27日,907
479,第5378回,2020年2月26日,528
480,第5377回,2020年2月25日,445
481,第5376回,2020年2月24日,996
482,第5375回,2020年2月21日,206
483,第5374回,2020年2月20日,518
484,第5373回,2020年2月19日,461
485,第5372回,2020年2月18日,386
486,第5371回,2020年2月17日,005
487,第5370回,2020年2月14日,006
488,第5369回,2020年2月13日,123
489,第5368回,2020年2月12日,503
490,第5367回,2020年2月11日,720
491,第5366回,2020年2月10日,516
492,第5365回,2020年2月7日,433
493,第5364回,2020年2月6日,577
494,第5363回,2020年2月5日,108
495,第5362回,2020年2月4日,514
496,第5361回,2020年2月3日,272
497,第5360回,2020年1月31日,436
498,第5359回,2020年1月30日,472
499,第5358回,2020年1月29日,312
500,第5357回,2020年1月28日,002
501,第5356回,2020年1月27日,345
502,第5355回,2020年1月24日,629
503,第5354回,2020年1月23日,366
504,第5353回,2020年1月22日,444
505,第5352回,2020年1月21日,069
506,第5351回,2020年1月20日,485
507,第5350回,2020年1月17日,626
508,第5349回,2020年1月16日,592
509,第5348回,2020年1月15日,565
510,第5347回,2020年1月14日,428
511,第5346回,2020年1月13日,705
512,第5345回,2020年1月10日,785
513,第5344回,2020年1月9日,409
514,第5343回,2020年1月8日,527
515,第5342回,2020年1月7日,109
516,第5341回,2020年1月6日,887
517,第5340回,2019年12月30日,721
518,第5339回,2019年12月27日,475
519,第5338回,2019年12月26日,914
520,第5337回,2019年12月25日,113
521,第5336回,2019年12月24日,079
522,第5335回,2019年12月23日,349
523,第5334回,2019年12月20日,325
524,第5333回,2019年12月19日,680
525,第5332回,2019年12月18日,626
526,第5331回,2019年12月17日,392
527,第5330回,2019年12月16日,491
528,第5329回,2019年12月13日,865
529,第5328回,2019年12月12日,844
530,第5327回,2019年12月11日,247
531,第5326回,2019年12月10日,436
532,第5325回,2019年12月9日,869
533,第5324回,2019年12月6日,694
534,第5323回,2019年12月5日,340
535,第5322回,2019年12月4日,895
536,第5321回,2019年12月3日,242
537,第5320回,2019年12月2日,448
538,第5319回,2019年11月29日,339
539,第5318回,2019年11月28日,491
540,第5317回,2019年11月27日,565
541,第5316回,2019年11月26日,118
542,第5315回,2019年11月25日,962
543,第5314回,2019年11月22日,094
544,第5313回,2019年11月21日,204
545,第5312回,2019年11月20日,363
546,第5311回,2019年11月19日,695
547,第5310回,2019年11月18日,275
548,第5309回,2019年11月15日,818
549,第5308回,2019年11月14日,831
550,第5307回,2019年11月13日,828
551,第5306回,2019年11月12日,961
552,第5305回,2019年11月11日,544
553,第5304回,2019年11月8日,153
554,第5303回,2019年11月7日,612
555,第5302回,2019年11月6日,219
556,第5301回,2019年11月5日,601
557,第5300回,2019年11月4日,465
558,第5299回,2019年11月1日,317
559,第5298回,2019年10月31日,134
560,第5297回,2019年10月30日,920
561,第5296回,2019年10月29日,716
562,第5295回,2019年10月28日,762
563,第5294回,2019年10月25日,175
564,第5293回,2019年10月24日,530
565,第5292回,2019年10月23日,822
